End Semester Exam Timetable 2019-20 Semester I,,,,,,,,
Date,Time,Course Code,Course Name,Number of Students,Room No. ,Seating Capacity,Roll Number,
F,,,,,,,,
"Wednesday, November 27, 2019","9:30 AM 
– 
12:00 noon",CH 201,General Chemistry,183,"1/101
1/103","75
140","17110081-18110077
18110078-18110194",
,,ES 103,Introduction to Electrical Systems,208,"Jasubhai Auditorium
 1/102",,"17110106-19110151
19110152-19110209",
,,CL 322,Chemical Reaction Engineering,31,"7/201
7/210","20
20","16110001-17110118
17110119-19310005",
,,CS 301,Operating Systems,46,"7/202
7/203","25
25","16110007-17110053
17110060-17110174",
,,EE 311,Electromagnetic Waves,30,"7/104
7/105","20
20","17110007-17110103
17110104-17110171",
,,ME 331,Manufacturing Processes and Systems,34,"7/204
7/205","20
20","16110073-17110137
17110138-17110178",
,,MSE 305,Advanced Materials,25,7/102,25,15110063-17110182,
,,CG 606,Philosophy of Mind,35,"7/206
7/207","20
20","16110003-19310020
19510022-19510037",
,,ES 621,Adv Solid Mechanics,24,7/103,25,18350004-19350005,
,,PH 510,Condensed Matter Physics,31,"7/101
7/110","20
20","16110025-18510054
18510059-19310054",
,,EE 619,Special Electrical Machines,15,7/106,20,16110049-19310033,
,,EH 601,Earth Surface Processes in the Anthropocene,9,7/110,20,All 9 students,
,,CH 627,Metabolism & Biosynthesis,16,,20,17310036-19310011,
,,MA 504,Introduction to Linear Algebra,52,1/201,75,16110004-19510066,
,,ES 607,Foundations of Fluid Dynamics,18,7/107,20,16110089-19350008,
,,,,,,,,
,,,,757,,,,
,,,,,,,,
,,,,,,,,
K,,,,,,,, 
"Wednesday, November 27, 2019","2:00 PM
 – 
 4:30 PM",CG 504,Research Methods in Cognitive Science,18,7/101,20,16210114-19510037, 
,,CE 625,Adv Hydraulic Engineering,17,7/110,20,19210032-19310055, 
,,BE 607,Molecular and Cellular Biotechnology,18,7/201,20,18310065-19210018, 
,,CH 624,Molecular Spectroscopy,29,"7/102
7/103","25
20","17510037-18510089
18510093-19310007", 
,,MA 628,Algebra II,11,7/210,20,18310053-19310023,
